Filename,original,MscSgl,MscPlu,FemSgl,FemPlu
Large,massive,masiv,masivi,masivă,masive
Large,colossal,colosal,colosali,colosală,colosale
Large,enormous,enorm,enormi,enormă,enorme
Large,extensive,extins,extinși,extinsă,extinse
Large,gargantuan,gargantuan,gargantuani,gargantuană,gargantuane
Large,gigantic,gigantic,gigantici,gigantică,gigantice
Large,grand,mare,mari,mare,mari
Large,huge,uriaș,uriași,uriașă,uriașe
Large,immense,imens,imenși,imensă,imense
Large,imposing,impunător,impunători,impunătore,impunătore
Large,mammoth,mamut,mamuți,mamută,mamute
Large,impressive,impresionant,impresionanți,impresionantă,impresionante
Large,monumental,monumental,monumentali,monumentală,monumentale
Large,substantial,substanțial,substanțiali,substanțială,substanțiale
Large,towering,impunător,impunători,impunătoare,impunătoare
Large,tremendous,extraordinar,extraordinari,extraordinară,extraordinare
Large,vast,vast,vaști,vastă,vaste
Large,hulking,uriaș,uriași,uriașă,uriașe
Large,mighty,măreț,măreți,măreață,mărețe
Large,monstrous,monstruos,monstruoși,monstruoasă,monstruoase
Large,titanic,titanic,titanici,titanică,titanice
Natural,big,mare,mari,mare,mari
Natural,rough,dur,duri,dură,dure
Natural,harsh,aspru,aspri,aspră,aspre
Natural,tall,înalt,înalți,înaltă,înalte
Natural,sharp,ascuțit,ascuțiți,ascuțită,ascuțite
Natural,craggy,aspru,aspri,aspră,aspre
Natural,free,liber,liberi,liberă,libere
Natural,prime,principal,principali,principală,principale
Natural,small,mică,mici,mică,mici
Natural,old,vechi,vechi,vechi,vechi
Natural,round,rotund,rotunzi,rotundă,rotunde
Natural,strange,ciudat,ciudați,ciudată,ciudate
Natural,wise,înțelept,înțelepți,înțeleptă,înțelepte
Natural,icy,înghețat,înghețați,înghețată,înghețate
Natural,bad,rău,răi,rea,rele
Natural,good,bun,buni,bună,bune
Natural,far,depărtat,depărtați,depărtată,depărtate
Natural,dead,mort,morți,moartă,moarte
Natural,hardy,tare,tari,tare,tari
PoliticalUnions,democratic,democratic,democratici,democratică,democratice
PoliticalUnions,national,național,naționali,națională,naționale
PoliticalUnions,republican,republican,republicani,republicană,republicane
PoliticalUnions,soverign,suveran,suverani,suverană,suverane
PoliticalUnions,essential,esențial,esențiali,esențială,esențiale
PoliticalUnions,free,liber,liberi,liberă,libere
PoliticalUnions,traveling,călător,călători,călătoare,călătoare
PoliticalUnions,republican,republican,republicani,republicană,republicane
PoliticalUnions,pan-global,pan-global,pan-globali,pan-globală,pan-globale
PoliticalUnions,constitutional,constituțional,constituționali,constituțională,constituționale
PoliticalUnions,documented,documentat,documentați,documentată,documentate
PoliticalUnions,eternal,etern,eterni,eternă,eterne
PoliticalUnions,egalatarian,egalitarist,egalitariști,egalitaristă,egalitariste
PoliticalUnions,equal,egal,egali,egală,egale
PoliticalUnions,friendly,prietenos,prietenoși,prietenoasă,prietenoase
PoliticalUnions,individualistic,individualist,individualiști,individualistă,individualiste
PoliticalUnions,independent,independent,independenți,independentă,independente
PoliticalUnions,nonpartisan,nepartizan,nepartizani,nepartizană,nepartizane
PoliticalUnions,autarchic,autarhic,autarhici,autarhică,autarhice
PoliticalUnions,nonaligned,nealiniat,nealiniați,nealiniată,nealiniate
PoliticalUnions,separated,separat,separați,separată,separate
PoliticalUnions,libertarian,libertarian,libertariani,libertariană,libertariane
PoliticalUnions,self-ruling,autoguvernat,autoguvernați,autoguvernată,autoguvernate
PoliticalUnions,self-governing,autoguvernat,autoguvernați,autoguvernată,autoguvernate
PoliticalUnions,self-determining,autodeterminant,autodeterminanți,autodeterminantă,autodeterminante
PoliticalUnions,uncontrolled,necontrolat,necontrolați,necontrolată,necontrolate
PoliticalUnions,kingless,fără rege,fără regi,fără rege,fără regi
PoliticalUnions,agreed,convenit,conveniți,convenită,convenite
PoliticalUnions,popular,popular,populari,populară,populare
PoliticalUnions,populist,populist,populiști,populistă,populiste
PoliticalUnions,people's,oamenilor,oamenilor,oamenilor,oamenilor
PoliticalUnions,common,comun,comuni,comună,comune
PoliticalUnions,communal,comunal,comunali,comunală,comunale
PoliticalUnions,liberal,liberal,liberali,liberală,liberale
PoliticalUnions,social,social,sociali,socială,sociale
PoliticalUnions,conservative,conservator,conservatori,conservatoare,conservatoare
PoliticalUnions,principled,principiat,principiați,principiată,principiate
PoliticalUnions,moral,moral,morali,morală,morale
PoliticalUnions,people's,oamenilor,oamenilor,oamenilor,oamenilor
PoliticalUnions,man's,omului,omului,omului,omului
PoliticalUnions,manifest,,,,
PoliticalUnions,orderly,ordonat,ordonați,ordonată,ordonate
PoliticalUnions,autonomous,autonom,autonomi,autonomă,autonome
PoliticalUnions,non-technologist,non-tehnologist,non-tehnologiști,non-tehnologistă,non-tehnologiste
PoliticalUnions,humanlike,asemănător cu omul,asemănători cu omul,asemănătoare cu omul,asemănătoare cu omul
PoliticalUnions,humanitarian,umanitar,umanitari,umanitară,umanitare
PoliticalUnions,organic,organic,organici,organică,organice
PoliticalUnions,strong,puternic,puternici,puternică,puternice
PoliticalUnions,secure,sigur,siguri,sigură,sigure
PoliticalUnions,complete,complet,compleți,completă,complete
PoliticalUnions,planet's,planetar,planetari,planetară,planetare
PoliticalUnions,planetary,mondial,mondiali,mondială,mondiale
PoliticalUnions,world,,,,
PoliticalUnions,world's,,,,
CompassDirections,northern,nordic,nordici,nordică,nordice
CompassDirections,northeastern,nord-estic,nord-estici,nord-estică,nord-estice
CompassDirections,eastern,estic,estici,estică,estice
CompassDirections,southeastern,sud-estic,sud-estici,sud-estică,sud-estice
CompassDirections,southern,sudic,sudici,sudică,sudice
CompassDirections,southwestern,sud-vestic,sud-vestici,sud-vestică,sud-vestice
CompassDirections,western,vestic,vestici,vestică,vestice
CompassDirections,northwestern,nord-vestic,nord-vestici,nord-vestică,nord-vestice
Colors,red,roșu,roși,roșie,roși
Colors,blue,albastru,albaștrii,albastră,albastre
Colors,green,verde,verzi,verde,verzi
Colors,purple,violet,violeți,violet,violete
Colors,black,negru,negrii,neagră,negre
Colors,white,alb,albi,albă,albe
Colors,gray,gri,gri,gri,gri
Colors,orange,portocaliu,portocalii,portocalie,portocalii
Colors_Badass,red,roșu,roșii,roșie,roșii
Colors_Badass,black,negru,negri,neagră,negre
Colors_Badass,gray,gri,gri,gri,gri
Colors_Badass,ash,cenușiu,cenușii,cenușie,cenușii
Colors_Badass,dark,întunecat,întunecați,întunecată,întunecate
Colors_Badass,shadow,umbros,umbroși,umbroasă,umbroase
Colors_Badass,night,nocturn,nocturni,nocturnă,nocturne
